am,y,ciiu3,publicidad,ventas,hombres,mujeres,kw
1,1983,311,3788.690476190476,223934.5317460318,39.396824,19.84127,425238.7976190476
2,1983,311,5966,249857.7303370787,40.258427,17.213484,503172.8764044944
3,1983,311,1842.016393442623,219366.262295082,46.106556,25.213116,398617.155737705
4,1983,311,1595.095238095238,248018.9047619048,27.523809,32.190475,243962.8095238095
5,1983,311,1800.455882352941,337150.6029411765,49.191177,11.926471,716940.8382352941
6,1983,311,247.5757575757576,67608.75757575757,13.343434,9.7474747,262221.6868686869
7,1983,311,5126.538461538462,389739.8846153846,45.115383,66.846153,468544.8846153846
8,1983,311,1789.444444444444,244866.1111111111,36.944443,15.666667,795076.5555555555
9,1983,311,769.8061224489796,313545.1352040817,54.806122,18.028061,973014.1887755102
1,1983,312,8631.325000000001,281564.925,39.575001,19.625,291323.725
2,1983,312,4578.64,209351.88,31.959999,13.56,486804.76
3,1983,312,2678.029411764706,282318.8235294118,38.382355,12.823529,542466.6176470588
4,1983,312,170.3333333333333,81611.33333333333,21,4.8333335,510224.3333333333
5,1983,312,2780.814814814815,163413.8518518519,28.074074,13.148149,525790.2962962963
6,1983,312,610.6363636363636,228859.8181818182,20.727272,6.090909,225216.5454545454
7,1983,312,541.25,32077.5,23,3.5,171937.5
8,1983,312,752.4,295587.2,25.799999,9,453641.4
9,1983,312,3687.590163934426,383576.3278688525,35.344261,10.819673,911424.6229508197
1,1983,313,21627.2,955264.9333333334,194,39.966667,2176385.1
2,1983,313,10209.5,595742.5714285715,127.85714,20.428572,1339099.714285714
3,1983,313,68400.42857142857,2479258,432.85715,67.14286,4063926.285714286
4,1983,313,18269.5,1068464,292,77.5,3248230
5,1983,313,42382,2469836,376.20001,63.799999,5453117.4
6,1983,313,16501.2,937143,236.60001,38,2206024.4
7,1983,313,11169.5,724338,197.25,16.75,1792148.5
8,1983,313,18573.66666666667,647369.3333333334,244.33333,65.666664,1435758.666666667
9,1983,313,10268.38095238095,527141.0476190476,123.77778,17.15873,1107081.952380952
1,1983,314,88562,1661591,398.5,122.5,2277150
2,1983,314,16878,559171,305,32,594768
3,1983,314,131290,5307232,972,250,5558035
5,1983,314,904,1726687,186,23,959100
6,1983,314,2953,105067.4,53,26.200001,160770.5
9,1983,314,9.166666666666666,119664,15.333333,9.833333,180019.3333333333
1,1983,321,271.9763033175356,107071.990521327,35.635071,39.729858,469181.6113744076
2,1983,321,1214.766666666667,120546.9666666667,49.766666,66.933334,447039.5333333333
3,1983,321,1324.288343558282,300386.2883435583,114.2638,35.061348,1922469.055214724
4,1983,321,83.2,234009,193.8,36,3234050
5,1983,321,436.5714285714286,124381.7857142857,47.42857,27.642857,703119.5
6,1983,321,174.75,46822.25,26,63.75,145094.5
7,1983,321,1207.8,271554.7,71.800003,67,985054.6
9,1983,321,353.7962962962963,97449.83333333333,85.462959,24.574074,1638719.759259259
1,1983,322,699.7155172413793,52383.24137931035,12.245689,48.810345,60159.89655172414
2,1983,322,363.9025974025974,32063.35714285714,7.3571429,32.590908,42405.72727272727
3,1983,322,627.3724340175953,32629.52785923754,9.7126102,31.592375,54656.98240469208
4,1983,322,2038,98731,23.75,78.75,139797
5,1983,322,316.5128205128205,31981.62820512821,11.179487,47.435898,61206.91025641026
6,1983,322,70.72,16808.21333333333,3.1600001,23.16,28371.28
7,1983,322,585.6034482758621,53573.63793103449,13.431034,56.810345,53697.1724137931
8,1983,322,285.5,30979.5,5,26.5,39949.5
9,1983,322,36.06349206349206,16116,6.3333335,32.825397,35593.65079365079
1,1983,323,205.575,85363.64999999999,33.150002,27.35,199053.7
2,1983,323,358.3333333333333,277739.5555555556,88.888885,44.666668,1015114.666666667
3,1983,323,144.4242424242424,70106.78787878787,37.242424,16.060606,301311.7272727273
5,1983,323,129,367501,169,20.666666,1706609.333333333
6,1983,323,209.1111111111111,15664.66666666667,4.4444447,15.444445,26687.66666666667
7,1983,323,124.3333333333333,54219,26.666666,2.3333333,157000
8,1983,323,0,93609,47,1,285402
9,1983,323,33.22222222222222,17621.66666666667,12.333333,2.5555556,79463.77777777778
1,1983,324,328.7,36698.88571428572,22.728571,20.1,40633.05714285714
2,1983,324,241.6538461538462,32043,28.461538,24.038462,52332.3076923077
3,1983,324,750.4255319148937,56862.70212765958,30.212767,20.936171,187998
4,1983,324,38549,643663.5,150,149,970570.5
5,1983,324,790.6666666666666,37822.58333333334,25.5,17.333334,57190.5
6,1983,324,52.33333333333334,11908.61538461539,11.923077,8.9487181,15682.30769230769
7,1983,324,57.125,38251.5,24,15.625,70285
8,1983,324,0,50144,29.5,33.5,112065.5
9,1983,324,271.8775510204082,22231.08163265306,19.163265,11.795918,61646.4081632653
1,1983,331,105.88,35107.62,22.9,5.1799998,80240.34
2,1983,331,94.26666666666667,23978.8,37.799999,4.0666666,121291.1333333333
3,1983,331,70.48936170212765,21044.74468085107,21.021276,2.0851064,76232.74468085106
4,1983,331,111.6666666666667,12642,16.166666,4,89791.66666666667
5,1983,331,1251.565217391304,198655.2608695652,72.347824,8.130435,876879.4347826087
6,1983,331,35.33333333333334,12038.46666666667,11.866667,1.8666667,54508.73333333333
7,1983,331,1.2,6321.8,15,1.8,28600
8,1983,331,49.875,20914.625,16.875,2.5,54090.375
9,1983,331,136.3333333333333,25117.68888888889,19.111111,3.0444446,147802.9555555556
1,1983,332,270.797619047619,30481.14285714286,30.571428,7.8928571,136613.7738095238
2,1983,332,29.13333333333333,10534.4,15.933333,3.6666667,22560.86666666667
3,1983,332,99.84090909090909,18169.68181818182,24.522728,4.7727275,55697.36363636364
4,1983,332,20.5,4418.5,8.5,.5,11500
5,1983,332,100.7142857142857,19656.90476190476,18.095238,3.1428571,29434.09523809524
6,1983,332,30.14285714285714,12766.78571428571,19.285715,3.4285715,57482.21428571428
7,1983,332,76.36363636363636,14954.54545454545,29.181818,2.7272727,32896
8,1983,332,139.5,24107.5,47.75,2.75,101358.75
9,1983,332,277.1951219512195,16615.60975609756,17.804878,6.2439022,37102.58536585366
1,1983,341,440.4791666666667,130910.3541666667,32.583332,13.145833,136680.2083333333
2,1983,341,876.4473684210526,623412.4736842106,79.236839,16.657894,6007988.5
